"Comment","Designator","Footprint","JLCPCB Part#(optional)"
"0.1uF","C1,C2,C3,C4","1206","C1945"
"1uF","C5,C6","1206","C1848"
"10nF","C7,C8","1206","C1846"
"100pF","C9,C10","1206","C1884"
"Diode  CD4148WP","D1,D2","1206","C109000"
"LED KT-1206Y","D3,D4","1206","C2298"
"1kR","R1,R4,R5,R8,R9,R10","1206_R","C1469"
"3kR","R2,R3","1206_R","C18012"
"0R","R6,R7","1206_R","C17888"
"50R","R11","1206_R","C18018"
"50kR","R12,R13","1206_R","C18017"
"OPA1602AIDR","U1","SOIC-8","C70884"
"LM317","U2","SOT-223-3","C33586"
"LM337","U3","SOT-223-3","C527400"
